,Solute SMILES,Solvent SMILES,pKa (avg),pKa (all),Source,,,,,,
4480,Nc1cccnn1,O,5.19,[5.19],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4481,C=CCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,O,10.7,[10.7],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4482,CN1C=CC(C2OC(C(Cl)(Cl)Cl)=CN2c2ccc(S(N)(=O)=O)cc2)C=C1,O,7.63,[7.63],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4483,COCCNCc1cc2sc(S(N)(=O)=O)cc2s1.Cl,O,6.65,[6.65],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4484,NC1=N[C@@](c2cccc(-c3cncnc3)c2)(c2ccnc(C(F)F)c2)c2cccc(F)c21,O,7.1,[7.1],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4485,CCCCCCCCCCCCCCCCCC(=O)OC[C@@H]1CC(F)(F)P(=O)(O)O1,O,4.62,[4.62],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4486,CCCN(CC(O)CC)CC(O)CC,O,9,[9.0],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4487,c1c[nH]c(P(c2[nH]cc[nH+]2)c2[nH]cc[nH+]2)n1,O,5.26,[5.26],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4488,CS(=O)O,O,2.35,[2.35],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4489,CC(CO)n1cc2c3c(cccc31)C1=CC(C(N)=O)C[NH+](C)C1C2,O,7.43,[7.43],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4490,O=C(O)C1=C(CO)CCC1,O,4.54,[4.54],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4491,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(N4CCN(C)CC4)cc(=O)oc3c2C)OC1(C)C,O,7.3,[7.3],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4493,CCCOc1cc(C(=O)NCC[NH+](CC)CC)c2ccccc2n1,O,8.83,[8.83],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4494,O=C1NC(c2ccccc2)CC(O)=C1Sc1ccccc1Cl,O,4.1,[4.1],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4495,CCCCN1CC[NH+](CCCC)C(NC(=O)c2ccccc2C)C1,O,6.81,[6.81],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4496,CC[NH+]1CCC(CNC(=O)c2cc(S(N)(=O)=O)c(N)cc2OC)C1,O,9.03,[9.03],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4497,CCCC(=O)OC[n+]1ccn(C)c1/C=N/O.[Cl-],O,8.13,[8.13],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4498,CC[N+](C)(CC)CCS/C(=N\O)C(=O)c1ccc(OC)cc1.[Cl-],O,7.7,[7.7],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4499,Cc1ccc2c(Nc3ccc(NS(=O)(=O)CCCCN)cc3)c3ccc([N+](=O)[O-])cc3nc2c1C.Cl,O,5.52,[5.52],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4500,O=C([O-])Cc1ccccc1Nc1ccccc1,O,4.1,[4.1],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4501,CC(C)([SeH])C[NH3+],O,5.21,[5.21],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4502,Cc1n[nH]c2c(N)ncnc12,O,5,"[5.02, 4.98]","[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473., Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4503,CCC(CC)C1(CC)C(=O)NC(=S)NC1=O,O,7.46,[7.46],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4504,CC[NH+](CC)CCSC(=NO)c1nc(Cc2ccccc2)no1,O,6.19,[6.19],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4505,COc1nc(C)c(Nc2nc(Cl)cn([C@H](C)C3CC3)c2=O)cc1C,O,3.6,[3.6],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4506,CN(C)C(=S)SCC(=O)O,O,3.34,[3.34],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4507,CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1,O,6.65,[6.65],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4508,Fc1ccc(NC(=S)c2ccc(Cl)cc2)cc1,O,10.41,[10.41],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4509,CN1CCC1,O,10.4,[10.4],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4510,CCCC[NH2+]CCN,O,7.53,[7.53],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4511,Cc1cc(C)c(C(C(=O)O)c2ccccc2)c(C)c1,O,4,[4.0],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4512,Cc1ccc([C@H]2C[C@@H]2C(=O)O)cc1,O,4.6,"[4.6, 4.6]","[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473., https://bit.ly/3wF902t]",,,,,,
4513,CS(=N)(=O)c1ccccc1,O,2.7,[2.7],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4514,COc1ccc(CC[NH2+]CC(O)COc2cccc(C)c2)cc1OC,O,8.38,[8.38],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4515,O=C1[N-]C(=O)C(Cc2ccccc2)S1,O,6.4,[6.4],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4516,O=C([O-])c1cccc(Br)c1,O,4.41,[4.41],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4517,COc1ccc(F)cc1CNCCCNc1ccnc2cc(Oc3ccc(C(C)(C)C)cc3)ccc12,O,9.28,[9.28],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4518,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,O,9.5,"[9.5, 9.5]","[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., https://bit.ly/3wF902t]",,,,,,
4519,CCc1c(C)nc2cccc(C)n2c1=O,O,4.74,[4.74],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4520,CN(C)CCCc1ccc([N+](=O)[O-])cc1.Cl,O,10.74,[10.74],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4521,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1C[C@@H](OCC2CCCCC2)CN1.Cl,O,8.2,[8.2],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4522,CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](OC(=O)CC(C)C)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C\[C@@H]2O[C@H]2C[C@@H](C)OC(=O)C[C@H]1OC(C)=O,O,7.61,[7.61],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4523,O=C(c1cc2cc(OC3CCN(C4COC4)CC3)ccc2n1CC(F)(F)F)N1CCOCC1,O,6.4,[6.4],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4524,Cc1cccc(C[N+](=O)[O-])c1,O,6.97,[6.97],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4525,C/C(CN(C)C)=N\[O-],O,10.9,[10.9],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4526,O=S(=O)([N-]c1ccc(Cl)cc1)C(F)(F)F,O,3.9,[3.9],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4527,N/C(CC([NH3+])c1ccccc1)=N\O,O,3.75,[3.75],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4528,NS(=O)(=O)c1cc2cc(C[NH3+])sc2s1,O,7.3,[7.3],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4529,CCN(CC)CC#N,O,4.18,[4.18],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4530,CCN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,O,2.8,[2.8],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4531,Cc1nc(NCc2ccco2)c2cn[nH]c2n1,O,4.63,"[4.65, 4.61]","[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473., Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4532,CCOc1cc(NC(=O)C2(NC(=O)c3ccc4c(C5CCCC5)c(-c5ncc(Cl)cn5)n(C)c4c3)CCC2)ccc1/C=C/C(=O)OCC(=O)N1CCN(C)CC1,O,6.6,[6.6],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4533,CCOc1ccc2nc(S(=O)(=O)NC)sc2c1,O,9.1,[9.1],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4534,Oc1nc2c(O)ccc(CCNCCOCCCOCCc3ccccc3)c2s1,O,8.115,"[8.68, 7.55]","[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4535,Cc1cnc2n(c1=O)C(C)CCC2,O,3.8,[3.8],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4536,O=C(CCS(=O)(=O)c1ccc2cc(Cl)ccc2c1)N1CCC(c2cnc[nH]2)CC1,O,6.9,[6.9],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4537,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,O,8.2,"[8.2, 8.2]","[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4538,C[C@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)OCC1(F)F,O,5.8,[5.8],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4539,c1ccc(Cc2ccccn2)cc1,O,5.13,[5.13],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4540,CC[NH+]1CC(C)CC(O)C1C(C)c1ccc2c(c1C)CC1C2CC=C2CC(O)CCC21C,O,7.4,[7.4],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4541,COC(=O)c1ccccc1-n1nc(O)cc1C,O,12.3,[12.3],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4542,COc1cc(NS(C)(=O)=O)ccc1N=c1c2ccccc2[nH]c2ccc(C(N)=O)cc12.Cl,O,6.59,[6.59],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4543,CC(C)(N)C(C)(C)[NH3+],O,6.56,[6.56],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4544,O=C([O-])c1ccc(O)c([N+](=O)[O-])c1,O,6.41,[6.41],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4545,Cc1nc(COc2ccc3c(c2)[C@@H](O)[C@@H](Cc2cccnc2)CO3)ccc1[N+](=O)[O-],O,1.52,[1.52],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4546,CC[C@@H](C(=O)O)[C@@]1(O)C[C@H]2CC[C@@H]1C2,O,4.26,[4.26],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4547,COc1ccc(CN)cc1OC,O,9.39,[9.39],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4548,OC(c1ccncc1)n1cc[nH+]c1,O,7.24,[7.24],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4549,CC(C)OC(=N)NC(=N)Nc1ccc(Cl)cc1,O,9.35,[9.35],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4550,O=Cc1ccccc1O,O,8.31,"[8.3, 8.36, 8.27]","[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473., https://bit.ly/3wF902t]",,,,,,
4551,CC(C)c1cc(Nc2cccc(C#N)c2)ncc1C(=O)NCC1CCOCC1,O,6.02,[6.02],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4552,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](OC2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,O,8.8,[8.8],[https://bit.ly/3wF902t],,,,,,
4553,O=S1(=O)NCN(CCF)c2ccc(Cl)cc21,O,9.35,[9.35],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4554,C[C@]1(C(F)(F)F)OC[C@@](C)(c2cccc(NC(=O)c3ccc(Br)cn3)c2)N=C1N,O,7.3,[7.3],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4555,Cc1csc(C(=O)O)c1,O,3.66,[3.66],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4556,O=C(O)c1csc(Cl)n1,O,3.3,[3.3],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4557,C[NH2+]C(Cc1ccccc1)Cc1ccccc1,O,9.43,[9.43],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4558,Oc1ccccc1CN1CCCNCCC[NH2+]CCC1,O,6.64,[6.64],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4559,C[n+]1ccn(CC[NH+]2CCCC2)c1C=NO,O,7.93,[7.93],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4560,COc1cc(C(=O)NCCN(C)C)c2nc3ccccc3cc2c1.Cl.Cl,O,3.34,[3.34],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4561,Cc1ccc(C2CCC[NH+]2C)cn1,O,3.78,[3.78],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4562,NC(=[NH2+])NCC1COc2ccccc2O1,O,12.3,[12.3],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4563,CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O,O,7.815,"[7.7, 7.93]","[https://bit.ly/3wF902t, Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4564,CNCCc1ccc2c(c1)N=C(N)[C@]1(F)CCC[C@H]21,O,7.9,[7.9],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4565,COCCN(CCOC)N=Nc1[nH]cnc1C(N)=O,O,4.22,[4.22],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4566,Cc1cc(CN(C)C)ccc1OC1CN(C(=O)c2nnc(-c3ccccc3)o2)C1,O,9.3,[9.3],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4567,CN[C@@H]1CCN(c2cc(C(F)(F)F)nc(N)n2)C1,O,3.1,"[3.1, 3.1]","[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4568,Cn1cnc2nccnc2c1=O,O,-0.47,[-0.47],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4569,Cn1cccc2c(=O)cccc1-2,O,6.09,[6.09],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4570,COc1ccc([Se]O)c([N+](=O)[O-])c1,O,10.71,[10.71],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4571,Nc1c2ccccc2[nH+]c2c(O)cccc12,O,7.225,"[7.05, 7.4]","[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473., Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4572,C[n+]1ccn(CCOCCCBr)c1C=NO,O,8.12,[8.12],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4573,C#CC(C)(C)N(C)C(C)(C)C#C,O,6.65,[6.65],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4574,CC(=O)Nc1ccc(OC(=O)Nc2cc(Cl)ccc2O)cc1,O,9.49,[9.49],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4575,CNC(=S)OC(C)C,O,11.56,[11.56],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4576,CN[C@@H]1CCN(c2ccnc(NC(C)C)c2)C1,O,6.6,[6.6],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4577,CCCC(=O)OC(C)CN(C)C,O,8.27,[8.27],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4578,Cl.O=C1/C(=C/c2ccccc2)CN(C(=O)c2ccc(OCCN3CCCCC3)cc2)C/C1=C\c1ccccc1,O,11.12,[11.12],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4579,N#Cc1nn[nH]c1C#N,O,1.47,[1.47],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4580,C/C=C/C1=C(O)C(=O)c2ccccc2C1=O,O,4.78,[4.78],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4581,CNc1ccccc1C,O,4.59,[4.59],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4582,O=C([O-])CCC(=O)c1ccc(-c2ccccc2)cc1,O,4.5,[4.5],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4583,CCc1ccccc1N,O,4.37,[4.37],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4584,COc1ccc(Cn2c(=O)n3ncnc3c3c4c(sc32)CN(CC2CCOCC2)CC4)cc1,O,6.6,[6.6],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4585,CC[NH2+]CCCC(=O)O,O,3.92,[3.92],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4586,Cc1c(-c2ccc(=O)n(Cc3ccccc3)n2)c2cc(Cl)cc(F)c2n1CC(=O)O,O,3.86,[3.86],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4587,COc1cccc(Nc2ccccc2)c1,O,0.37,[0.37],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4588,CCCCCS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3ccccc23)cc1.Cl,O,7.19,[7.19],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4589,C[S+](C)[O-],O,1.54,[1.54],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4590,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,O,5.34,"[5.3, 5.3, 5.3, 5.3, 5.5]","[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., https://bit.ly/3wF902t, https://bit.ly/3wF902t, https://bit.ly/3wF902t]",,,,,,
4591,Oc1ccc(F)cc1Sc1cc(F)ccc1O,O,8.4,[8.4],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4592,CCCS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3cc(NC(C)=O)ccc23)c(OC)c1.Cl,O,7.57,[7.57],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4593,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CNS(=O)(=O)c3cc(O)c(O)c(Br)c3)CS[C@H]12)c1csc(N)n1)C(=O)O,O,6.4,[6.4],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4594,O=C(/C=C/c1ccc(CNCCc2c[nH]c3ccccc23)cc1)NO,O,7.65,[7.65],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4595,O=C(c1ccc2ccccc2c1)c1ccc2n1CCC2C(=O)O,O,3.44,[3.44],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4596,C[C@H]1CCC[C@@H](C)N1,O,10.99,[10.99],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4597,CC1CCCCC1(c1cccs1)[NH+]1CCCCC1,O,6.95,[6.95],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4598,CCC(C)c1cccc(OCC(O)C[NH2+]C(C)C)c1,O,8.4,[8.4],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4599,CCCC12CCC(=O)C=C1c1c(cc(OCC(=O)O)c(C)c1C)C2,O,4.3,[4.3],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4600,CC(C)CCc1ccc2c(NCCCNCc3ccco3)ccnc2c1,O,9.47,[9.47],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4601,NC(=[NH2+])NNc1ccccc1,O,8.26,[8.26],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4602,Cn1cc[n+](C(C)(C)C)c1C=NO,O,7.94,[7.94],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4603,O=C([O-])C[NH+](CC(=O)[O-])Cc1cc([N+](=O)[O-])ccc1O,O,6.18,[6.18],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4604,NC1=[NH+][C@H]2C[C@@H](N1)N[C@@H]2C(=O)[O-],O,5.5,[5.5],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4605,CC[NH+](CC)CC(=O)NC1CCc2ccccc21,O,8.19,[8.19],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4606,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,O,7.886666667,"[7.95, 7.8, 7.91]","[https://bit.ly/3wF902t, https://bit.ly/3wF902t, Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4607,Cc1ccnc(NCC2CCN(c3ccc(CC(NC(=O)c4c(C)cc(C)cc4C)C(=O)O)cc3)CC2)c1,O,7.5,[7.5],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4608,CC(C)N(c1ccccc1)C(C)C,O,6.78,"[6.19, 7.37]","[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473., Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4609,CCOc1cc(CN2CCC(Nc3nc4cc(NS(=O)(=O)c5cn(C)cn5)ccc4o3)CC2)ccc1OC,O,7.91,[7.91],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4610,N#CCCNCCC#N,O,5.23,[5.23],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4611,CCC(CC)Nc1ncnc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@H]1O,O,3.3,[3.3],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4612,Cc1ccc(CN2C[C@@H]3C[C@H]4[C@@H]5C[C@H](F)C6=CC(=O)C=C[C@]6(C)[C@@]5(F)[C@@H](O)C[C@]4(C)[C@]3(C(=O)CO)C2)cc1,O,7.11,[7.11],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4613,NC(=O)C(CCC(=O)O)c1ccccc1,O,4.64,[4.64],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4614,CC(C)CN1C(=O)CN(Cc2ccc(-c3ccc(F)c(CN4CCCC(F)C4)n3)cc2)C1=O,O,7.2,[7.2],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4615,CC(C)C1(C)C(=O)NC(=O)NC1=O,O,8.45,[8.45],[https://bit.ly/3wF902t],,,,,,
4616,N#Cc1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3[C@@H](F)CCN23)cc1,O,3.3,[3.3],[https://bit.ly/3wF902t],,,,,,
4617,Nc1ccnc(N)n1,O,7.26,[7.26],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4618,Clc1ccc(Oc2ccc3c(NCCCNCc4ccc5c(c4)OCO5)ccnc3c2)cc1,O,9.28,[9.28],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4619,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)cc1[N+](=O)[O-],O,5.7,[5.7],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
4620,Cc1ccc(O)c(CO)c1,O,10.15,"[10.15, 10.15]","[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473., Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
4621,CC(CN1CCCCC1)C(C#N)(c1ccccc1)c1ccccc1,O,7.54,[7.54],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4622,COc1cc(C[NH+](C)C)c(O)c(C[NH+](C)C)c1,O,6.33,[6.33],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
