,Solute SMILES,Solvent SMILES,Solute CAS,Solute IUPAC,pKa (avg),pKa (all),Source (all),Acid type,Solvent name
438,Cc1ccccc1C[NH+](CCO)CCO,O,0,0,7.1,[7.1],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
439,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,CC#N,99-34-3,"3,5-dinitrobenzoic acid",17,[17.0],"[Eckert et al., J. Comput. Chem., 2009, 30, 799-810.]",carboxylic acid,acetonitrile
440,OC(=S)CCCCC(O)=S,O,0,0,3.382,[3.382],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",hydroxyl alcohol,water
441,Cc1c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c1C(F)(F)F,CS(=O)C,1018330-43-2,"1-methyl-2,3,4,5,6-pentakis(trifluoromethyl)benzene",13.9,[13.9],"[Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419.]",C-H acid,DMSO
442,O=C(O)COc1ccccc1,O,0,0,3.17,[3.17],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
443,Cc1cc([N+](=O)[O-])c[nH+]c1N,O,0,0,3.58,[3.58],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
444,CCCC[N@H+](C)c1ccccc1,O,0,0,6.03,[6.03],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
445,O=[N+]([O-])c1cccc2c1Nc1ccccc1O2,CC#N,26103-27-5,1-nitro-10H-phenoxazine,28.4,[28.4],"[Eckert et al., J. Comput. Chem., 2009, 30, 799-810.]",amine,acetonitrile
446,OC12C(F)(F)C3(F)C(F)(F)C(F)(C1(F)F)C(F)(F)C(F)(C2(F)F)C3(F)F,CC#N,160823-57-4,"2,2,3,4,4,5,6,6,7,8,8,9,9,10,10-pentadecafluoroadamantan-1-ol",18.25,[18.25],"[Paenurk et al., Chem. Sci., 2017, 8, 6964-6973.]",hydroxyl alcohol,acetonitrile
447,CS(=O)(=O)O,CC#N,75-75-2,methanesulfonic acid,9.97,"[9.97, 9.97, 9.97]","[Eckert et al., J. Comput. Chem., 2009, 30, 799-810., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419.]",sulfonic acid,acetonitrile
448,CC(C)(C)N[P+](N1CCCC1)(N1CCCC1)N1CCCC1,CS(=O)C,-,(tert-butylamino)-tripyrrolidin-1-ylphosphanium,17.4,[17.4],"[Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748.]",amine,DMSO
449,COc1ccccc1CCC(=O)O,O,0,0,4.804,[4.804],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
450,CCC(CC)n1nc(C)c(C(=O)N[C@@H](C)C(C)(C)C)c1NS(=O)(=O)c1ccc(C)cc1,O,0,0,4.6,[4.6],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",amine,water
451,O=[N+]([O-])c1cccc(S(=O)(=O)O)c1,CC#N,98-47-5,3-nitrobenzenesulfonic acid,6.615,"[6.65, 6.71, 6.4, 6.7]","[Eckert et al., J. Comput. Chem., 2009, 30, 799-810.,  Kutt et al., J. Org. Chem., 2011, 76, 391-395., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419., Paenurk et al., Chem. Sci., 2017, 8, 6964-6973.]",sulfonic acid,acetonitrile
452,O=c1[nH]cc(S)c(=O)[nH]1,O,0,0,5.3,[5.3],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",thiol,water
453,Oc1ccc(C(F)(F)F)cc1,CS(=O)C,402-45-9,4-(trifluoromethyl)phenol,14.6,[14.6],"[Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419.]",phenol,DMSO
454,C[NH2+]c1ccccc1[N+](=O)[O-],O,0,0,-0.62,[-0.62],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
455,C[NH2+]c1c(C)cccc1C,O,0,0,6.12,[6.12],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
456,CC(=O)Oc1cccc(C(=O)O)c1,O,0,0,4,[4.0],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
457,O=[N+]([O-])c1ccccc1O,CS(=O)C,88-75-5,2-nitrophenol,11,[11.0],"[Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419.]",phenol,DMSO
458,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,O,0,0,7.5,[7.5],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",amine,water
459,COc1cc(C(=O)O)ccc1O,O,0,0,4.355,[4.355],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
460,[NH3+]C1CCCCC1,O,0,0,10.68,[10.68],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
461,[NH3+][C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)[O-],O,0,0,8.56,[8.56],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
462,CC[C@H](Cl)C(=O)O,O,0,0,2.86,[2.86],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
463,Cc1cc(Cl)ccc1O,O,0,0,9.71,[9.71],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",phenol,water
464,C1=C(Cc2ccccc2)[NH2+]CC1,O,0,0,7.06,[7.06],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
465,[NH3+][C@H](Cc1ccccc1)C(=O)[O-],O,0,0,8.9,[8.9],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
466,N[C@@H]1CCc2cc(O)c(O)cc2C1,O,0,0,9.1,"[9.1, 9.1]","[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997. ,   Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",phenol,water
467,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,O,0,0,12.23,[12.23],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",phenol,water
468,CCC[NH3+],C1CCOC1,,propylazanium,13.8,[13.8],"[Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748.]",protonated amine,THF
469,O=[N+]([O-])c1ccc2c(c1)Oc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1N2,CC#N,-,"1,3,7-trinitro-10H-phenoxazine",20.3,[20.3],"[Eckert et al., J. Comput. Chem., 2009, 30, 799-810.]",amine,acetonitrile
470,CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,O,0,0,3.37,[3.37],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
471,CC(C)[NH2+]C[C@H](O)c1ccccc1,O,0,0,9.5,[9.5],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
472,[NH3+]Cc1cccc(F)c1,O,0,0,9.04,[9.04],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
473,O=C(O)[C@@H]1Cc2c([nH]c3ccccc23)[C@H](c2ccccc2)[NH2+]1,O,0,0,8,[8.0],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
474,CCOc1cccc(C(=O)O)c1CO,O,0,0,3.62,[3.62],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
475,CC(C)(CN)C[NH3+],O,0,0,10.22,[10.22],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
476,[NH3+][C@@H]1CCc2cc(O)c(O)cc2C1,O,0,0,9.566666667,"[9.1, 10.5, 9.1]","[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997. ,   Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997. ,   Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
477,CC[NH+](CC)CCCl,O,0,0,8.8,[8.8],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
478,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2C[N@H+]1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,O,0,0,7.14,[7.14],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
479,Cc1cccc(C(=O)O)c1C(=O)O,CC#N,37102-74-2,3-methylphthalic acid,17,[17.0],"[Eckert et al., J. Comput. Chem., 2009, 30, 799-810.]",carboxylic acid,acetonitrile
480,O=[N+]([O-])c1cccc([N+](=O)[O-])c1O,CN(C)C=O,573-56-8,"2,6-dinitrophenol",6.18,[6.18],"[Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419.]",phenol,DMF
481,NC1=[NH+][C@H](c2cccs2)Nc2cccc(F)c21,O,0,0,8.73,[8.73],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
482,CC1=[NH+]C[C@H](C)S1,O,0,0,5.256,[5.256],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
483,O=S(=O)(N=C(NS(=O)(=O)C(F)(F)F)c1ccccc1)C(F)(F)F,CC#N,500721-91-5,"N,N'-bis(trifluoromethylsulfonyl)benzenecarboximidamide",5.764,"[5.71, 5.68, 5.71, 6.04, 5.68]","[ Kutt et al., J. Org. Chem., 2011, 76, 391-395., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419., Paenurk et al., Chem. Sci., 2017, 8, 6964-6973., Eckert et al., J. Comput. Chem., 2009, 30, 799-810., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419.]",amine,acetonitrile
484,C[C@@H](C(=O)O)[N+](=O)[O-],O,0,0,3.79,[3.79],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
485,Oc1c(C[NH+]2CCCCC2)ccc2cccnc12,O,0,0,10.9,[10.9],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
486,CN(C)[P+](Nc1ccccc1)(N(C)C)N(C)C,O,-,anilino-tris(dimethylamino)phosphanium,10.64,[10.64],"[Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748.]",amine,water
487,[NH3+][C@H]1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,O,0,0,5.77,[5.77],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
488,Nc1cc2ccccc2c[nH+]1,O,0,0,5.03,[5.03],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
489,CN(C)CCCC[NH+](C)C,CS(=O)C,-,4-(dimethylamino)butyl-dimethylazanium,10,[10.0],"[Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748.]",protonated amine,DMSO
490,C1CCC2=NCCC[NH+]2CC1,CS(=O)C,-,"3,4,5,6,7,8,9,10-octahydro-2H-pyrimido[1,2-a]azepin-5-ium",13.9,"[13.9, 13.9]","[Kutt et al., Tetrahedron Lett., 2018., Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748.]",protonated amine,DMSO
491,O=C1C[C@@H](C(N1)=O)S,O,0,0,6.7,[6.7],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",thiol,water
492,O=C(O)c1nc(Cl)ccc1Cl,O,0,0,2.32,[2.32],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
493,CN(C)c1cccc2cccc([NH+](C)C)c12,C1CCOC1,-,[8-(dimethylamino)naphthalen-1-yl]-dimethylazanium,11.1,[11.1],"[Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748.]",protonated amine,THF
494,O=C(O)C(c1ccccc1)(c1ccccc1)c1ccccc1,O,0,0,3.96,[3.96],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
495,[NH3+]c1cccc(SC(F)(F)F)c1,O,0,0,3.3,[3.3],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
496,Cc1cccc([NH2+][C@H]2CCc3ccccc32)c1,O,0,0,2.49,[2.49],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
497,N#CC(C#N)=C(Cl)C(C#N)C#N,C(CCl)Cl,1261286-80-9,"2-chloroprop-1-ene-1,1,3,3-tetracarbonitrile",32.9,[32.9],"[Paenurk et al., Chem. Sci., 2017, 8, 6964-6973.]",C-H acid,DCE
498,COc1cccc(OC)[nH+]1,CC#N,,"2,6-dimethoxypyridin-1-ium",7.64,[7.64],"[Lokov et al., Eur. J. Org. Chem., 2017, 30, 4475-4489.]",protonated amine,acetonitrile
499,Nc1ccc(CC(=O)O)cc1,O,0,0,3.6,[3.6],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
500,Cc1c(C)c([N+](=O)[O-])c(C)c(C)c1[NH3+],O,0,0,2.36,[2.36],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
501,CCC(=O)OCC[NH+](C)C,O,0,0,8.29,[8.29],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
502,COC(=O)c1cc2nc([S@@](=O)Cc3[nH+]cccc3C)[nH]c2cc1C,O,0,0,3.5,[3.5],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
503,[NH3+]c1ccccc1[N+](=O)[O-],CC#N,,(2-nitrophenyl)azanium,4.8,[4.8],"[Lokov et al., Eur. J. Org. Chem., 2017, 30, 4475-4489.]",protonated amine,acetonitrile
504,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(OC2CC[NH2+]CC2)ncc1Cl,O,0,0,9.1,[9.1],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
505,O=S(=O)(O)c1ccc(Cl)cc1,CC#N,98-66-8,4-chlorobenzenesulfonic acid,7.1425,"[7.16, 7.21, 7.0, 7.2]","[Eckert et al., J. Comput. Chem., 2009, 30, 799-810.,  Kutt et al., J. Org. Chem., 2011, 76, 391-395., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419., Paenurk et al., Chem. Sci., 2017, 8, 6964-6973.]",sulfonic acid,acetonitrile
506,CCCCCCCC[N@@H+](CC[N+]1(C)CCCCC1)c1ccccc1,O,0,0,3.32,[3.32],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
507,COc1ccc([NH+](C)C)cc1,O,0,0,5.854,[5.854],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
508,O=C1c2ccccc2C(=O)N1O,O,0,0,6.5,[6.5],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",acidic hydroxyl,water
509,SCc1ccccn1,O,0,0,8.82,[8.82],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",thiol,water
510,Cc1ccc(C(=O)N2C[C@H]3C[NH2+]C[C@@H](C2)O3)cc1NC(=O)CC12CC3CC(CC(C3)C1)C2,O,0,0,7.18,[7.18],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
511,Cc1cc(Br)ccc1C(=O)O,O,0,0,3.77,[3.77],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
512,COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2c(-c3nnn(C)n3)cnn2C)n1,O,0,0,3.6,[3.6],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",amine,water
513,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,O,0,0,6.2,[6.2],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
514,CC1=C(C)C(C)(C)[NH2+]C1(C)C,O,0,0,10.5,[10.5],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
515,Cc1ccc([NH3+])cc1Br,O,0,0,3.98,[3.98],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
516,[NH3+][C@H]1CCCC[C@@H]1Cl,O,0,0,9.49,[9.49],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
517,C1CN=C2CCC[NH+]2C1,O,-,"3,4,5,6,7,8-hexahydro-2H-pyrrolo[1,2-a]pyrimidin-5-ium",13.5,[13.5],"[Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748.]",protonated amine,water
518,O=C(O)c1cc(/N=N/c2ccc(Cl)cc2)ccc1O,O,0,0,2.5,[2.5],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
519,[O-][Cl+3]([O-])([O-])O,O,7601-90-3,perchloric acid,-15.2,[-15.2],"[Kutt et al., Tetrahedron Lett., 2018.]",inorganic,water
520,C[NH+](C)CCCN1c2ccccc2Sc2ccccc21,O,0,0,9.4,[9.4],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
521,O=C(O)C(F)(F)Cl,O,0,0,0.46,[0.46],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
522,OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,CS(=O)C,1/2/78,"1,1,1,3,3,3-hexafluoro-2-(trifluoromethyl)propan-2-ol",10.7,[10.7],"[Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419.]",hydroxyl alcohol,DMSO
523,[NH3+]CCCCO,O,0,0,10.35,[10.35],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
524,CC[C@@H]([NH3+])C(=O)OC,O,0,0,7.64,[7.64],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
525,[NH3+]c1ccc(C(F)(F)F)cc1,CC#N,,(4-(trifluoromethyl)phenyl)azanium,8.03,[8.03],"[Lokov et al., Eur. J. Org. Chem., 2017, 30, 4475-4489.]",protonated amine,acetonitrile
526,O=[N+]([O-])c1cc2c(c([N+](=O)[O-])c1)Nc1c(cc([N+](=O)[O-])cc1[N+](=O)[O-])O2,CC#N,24050-28-0,"1,3,7,9-tetranitro-10H-phenoxazine",18.8,[18.8],"[Eckert et al., J. Comput. Chem., 2009, 30, 799-810.]",amine,acetonitrile
527,CN1CCC[NH+]2CCCN=C12,C1CCOC1,-,"1-methyl-3,4,5,6,7,8-hexahydro-2H-pyrimido[1,2-a]pyrimidin-5-ium",18,[18.0],"[Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748.]",protonated amine,THF
528,NCCC[NH3+],CC#N,-,3-aminopropylazanium,19.76,[19.76],"[Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748.]",protonated amine,acetonitrile
529,O=C(O)[C@@H](Cl)CCl,O,0,0,2.85,[2.85],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
530,CCOC(=O)C(C#N)c1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F,C(CCl)Cl,62325-34-2,"ethyl 2-cyano-2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)acetate",52,"[52.0, 52.0]","[Paenurk et al., Chem. Sci., 2017, 8, 6964-6973., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419.]",C-H acid,DCE
531,c1ccc2[nH]ccc2c1,CN(C)C=O,120-72-9,1H-indole,21.65,[21.65],"[Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419.]",amine,DMF
532,O=C(O)[C@@H](O)CO,O,0,0,3.52,[3.52],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
533,C[S@](=O)c1cccc(C(C)(C)C)c1O,O,0,0,9.5,[9.5],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",phenol,water
534,O=C(O)[C@H](O)CCl,O,0,0,3.12,[3.12],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
535,Cc1ccc(S(=O)(=O)[N-]C(=O)N2CCC([NH+]3CCC(Oc4ccc(Cl)c(C)c4Cl)CC3)CC2)cc1,O,0,0,8.7,[8.7],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
536,Cc1ccnc(O)n1,O,0,0,9.9,[9.9],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",hydroxyl alcohol,water
537,N#CCC(=O)O,CC#N,372-09-8,2-cyanoacetic acid,18,[18.0],"[Eckert et al., J. Comput. Chem., 2009, 30, 799-810.]",carboxylic acid,acetonitrile
538,CCCOc1ccccc1C(=O)O,O,0,0,4.24,[4.24],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
539,[NH3+]c1cccc(I)c1,O,0,0,3.61,[3.61],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
540,COC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(C)cc(C)n1,O,0,0,5.2,[5.2],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",amine,water
541,C1CC[NH2+]CC1,CS(=O)C,17523-59-0,piperidin-1-ium,10.85,[10.85],"[Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748.]",protonated amine,DMSO
542,NS(=O)(=O)c1cccc(C[NH3+])c1,O,0,0,8.55,[8.55],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
543,[NH3+]c1ccc2c(c1)CCCC2,O,0,0,5.17,[5.17],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
544,C[NH2+]CC(=O)[O-],O,0,0,10.18,[10.18],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
545,Oc1cccc2nnccc12,O,0,0,7.42,[7.42],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",phenol,water
546,OCCCl,O,0,0,14.31,[14.31],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",hydroxyl alcohol,water
547,O=S(=O)(NS(=O)(=O)C(F)(F)F)c1ccccc1,CC#N,174788-87-5,N-(trifluoromethylsulfonyl)benzenesulfonamide,5.6275,"[5.55, 5.52, 5.55, 5.89]","[ Kutt et al., J. Org. Chem., 2011, 76, 391-395., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419., Paenurk et al., Chem. Sci., 2017, 8, 6964-6973., Eckert et al., J. Comput. Chem., 2009, 30, 799-810.]",amine,acetonitrile
548,[NH3+]c1ccc2c(c1)-c1ccccc1C2,O,0,0,4.82,[4.82],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
549,O=C(c1ccccc1C(F)(F)F)N(O)c1ccccc1,O,0,0,7.88,[7.88],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",acidic hydroxyl,water
550,O=[N+]([O-])c1cc(-c2ccccc2)ccc1O,O,0,0,6.73,[6.73],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",phenol,water
551,Cc1cc(C)c(C)c(O)c1,O,0,0,10.7,[10.7],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",phenol,water
552,CC(C)(O)C(F)(F)F,O,0,0,11.6,[11.6],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",hydroxyl alcohol,water
553,C1COCC[NH2+]1,O,0,0,8.5,[8.5],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
554,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,O,0,0,6.28,[6.28],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
555,[NH3+]CCc1c[nH]c2ccc(O)cc12,O,0,0,10,[10.0],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
556,Cc1cc(C[N@H+]2Cc3ccccc3[C@@H]2C(=O)Nc2ccc(Cl)cc2Cl)ccc1OCC(=O)[O-],O,0,0,5.6,[5.6],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
557,Cc1cc(C[N@@H+](CC(=O)Nc2ccc(Cl)cc2Cl)C2CCCCC2)ccc1OCC(=O)[O-],O,0,0,6.7,[6.7],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
558,C[NH+](C)C[C@H](O)c1ccc(O)c(O)c1,O,0,0,9.257,[9.257],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
559,[NH3+]C[C@H](O)c1ccccc1,O,0,0,8.79,[8.79],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
560,[NH3+]c1ccccc1F,O,0,0,3.2,[3.2],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
561,CCCO[P@](C)(=O)SCC[NH+](C)C,O,0,0,7.77,[7.77],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
562,CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(C[NH+](C)C)o1,O,0,0,8.47,[8.47],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
563,COc1ccc(Sc2ccc([NH3+])cc2)cc1,O,0,0,3.94,[3.94],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
564,C1=CC=[N+]C=C1,O,16969-45-2,pyridin-1-ium,5.25,[5.25],"[Kutt et al., Tetrahedron Lett., 2018.]",protonated amine,water
