Solute SMILES,Solvent SMILES,Solute CAS,Solute IUPAC,pKa (avg),pKa (all),Source (all)
C1=CC(=CC=C1C(F)(F)F)[NH3+],CC#N,,(4-(trifluoromethyl)phenyl)azanium,8.03,[8.03],['pKa_values_of_nitrogen_heterocycles.pdf']
C1=CC(=CC=C1C(F)(F)F)O,CC#N,402-45-9,4-(trifluoromethyl)phenol,25.52,"[25.54, 25.5, 25.5, 25.54]","['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
C1=CC(=CC=C1C(F)(F)F)O,CS(=O)C,402-45-9,4-(trifluoromethyl)phenol,14.6,[14.6],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC(=CC=C1C(F)(F)F)O,O,402-45-9,4-(trifluoromethyl)phenol,8.68,[8.68],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC(=CC=C1C(F)(F)F)S(=O)(=O)N,CC#N,830-43-3,4-(trifluoromethyl)benzenesulfonamide,25.24,[25.24],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC(=CC=C1C(F)(F)F)S(=O)(=O)N,O,830-43-3,4-(trifluoromethyl)benzenesulfonamide,9.64,[9.64],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC(=CC=C1C[N+](=O)[O-])[N+](=O)[O-],CC#N,1610-26-0,1-nitro-4-(nitromethyl)benzene,20.7,[20.7],['MeCN_Acids_COSMO-RS_2008_Table.pdf']
C1=CC(=CC=C1C#N)O,CC#N,767-00-0,4-hydroxybenzonitrile,22.7,[22.7],['MeCN_Acids_COSMO-RS_2008_Table.pdf']
C1=CC(=CC=C1CC#N)[N+](=O)[O-],CC#N,555-21-5,2-(4-nitrophenyl)acetonitrile,25.4,[25.4],['MeCN_Acids_COSMO-RS_2008_Table.pdf']
C1=CC(=CC=C1CS(=O)(=O)C(F)(F)F)C(F)(F)F,CC#N,194222-97-4,1-(trifluoromethyl)-4-(trifluoromethylsulfonylmethyl)benzene,24.44,[24.44],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC(=CC=C1CS(=O)(=O)C(F)(F)F)C(F)(F)F,CS(=O)C,194222-97-4,1-(trifluoromethyl)-4-(trifluoromethylsulfonylmethyl)benzene,11.95,[11.95],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC(=CC=C1CS(=O)(=O)C(F)(F)F)F,CC#N,2408-04-0,1-fluoro-4-(trifluoromethylsulfonylmethyl)benzene,27,[27.0],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC(=CC=C1F)S(=O)(=O)N,CC#N,402-46-0,4-fluorobenzenesulfonamide,25.175,"[24.19, 26.16]","['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']"
C1=CC(=CC=C1F)S(=O)(=O)N,CN(C)C=O,402-46-0,4-fluorobenzenesulfonamide,16.67,[16.67],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC(=CC=C1F)S(=O)(=O)N,CS(=O)C,402-46-0,4-fluorobenzenesulfonamide,15.9,[15.9],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC(=CC=C1F)S(=O)(=O)N,O,402-46-0,4-fluorobenzenesulfonamide,10.02,[10.02],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl,CC#N,101-20-2,"1-(4-chlorophenyl)-3-(3,4-dichlorophenyl)urea",27.95,[27.95],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC(=CC=C1NC2=CC=C(C=C2)[N+](=O)[O-])[N+](=O)[O-],CC#N,1821-27-8,4-nitro-N-(4-nitrophenyl)aniline,26.18,[26.18],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC(=CC=C1O)Br,CC#N,106-41-2,4-bromophenol,25.53,[25.53],['MeCN_Acids_COSMO-RS_2008_Table.pdf']
C1=CC(=CC=C1O)Cl,CC#N,106-48-9,4-chlorophenol,25.44,[25.44],['MeCN_Acids_COSMO-RS_2008_Table.pdf']
C1=CC(=CC=C1S(=O)(=O)N)Br,CC#N,701-34-8,4-bromobenzenesulfonamide,24.04,[24.04],['MeCN_Acids_COSMO-RS_2008_Table.pdf']
C1=CC(=CC=C1S(=O)(=O)N)Cl,CC#N,98-64-6,4-chlorobenzenesulfonamide,25.85,[25.85],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC(=CC=C1S(=O)(=O)N)Cl,CN(C)C=O,98-64-6,4-chlorobenzenesulfonamide,16.58,[16.58],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC(=CC=C1S(=O)(=O)N)Cl,CS(=O)C,98-64-6,4-chlorobenzenesulfonamide,15.6,[15.6],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC(=CC=C1S(=O)(=O)N)Cl,O,98-64-6,4-chlorobenzenesulfonamide,9.79,[9.79],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC(=CC=C1S(=O)(=O)NS(=O)(=O)C(F)(F)F)Cl,CC#N,174788-89-7,4-chloro-N-(trifluoromethylsulfonyl)benzenesulfonamide,5.02,[5.02],['leito_acids']
C1=CC(=CC=C1S(=O)(=O)NS(=O)(=O)C2=CC=C(C=C2)Cl)Cl,CC#N,2725-55-5,4-chloro-N-(4-chlorophenyl)sulfonylbenzenesulfonamide,10.2,"[10.2, 10.2, 10.2, 10.2, 10.2]","['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'DCE_2011_pKa_Table_MeCN.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
C1=CC(=CC=C1S(=O)(=O)NS(=O)(=O)C2=CC=C(C=C2)Cl)Cl,CN(C)C=O,2725-55-5,4-chloro-N-(4-chlorophenyl)sulfonylbenzenesulfonamide,3.46,[3.46],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC(=CC=C1S(=O)(=O)O)Cl,CC#N,98-66-8,4-chlorobenzenesulfonic acid,7.1425,"[7.16, 7.21, 7.0, 7.2]","['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'DCE_2011_pKa_Table_MeCN.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
C1=CC(=CC2=C1C=CN2)[N+](=O)[O-],CC#N,4769-96-4,6-nitro-1H-indole,27.79,"[27.79, 27.79]","['pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']"
C1=CC(=CC2=C1C=CN2)[N+](=O)[O-],O,4769-96-4,6-nitro-1H-indole,14.4,[14.4],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC=[N+]C=C1,C1CCOC1,16969-45-2,pyridin-1-ium,5.5,[5.5],['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf']
C1=CC=[N+]C=C1,CC#N,16969-45-2,pyridin-1-ium,12.53,[12.53],['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf']
C1=CC=[N+]C=C1,CS(=O)C,16969-45-2,pyridin-1-ium,3.45,[3.45],['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf']
C1=CC=[N+]C=C1,O,16969-45-2,pyridin-1-ium,5.25,[5.25],['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf']
C1=CC=[NH+]C(=C1)C2=CC=CC=N2,CC#N,,2-pyridin-1-ium-2-ylpyridine,12.265,"[12.26, 12.27]","['pKa_values_of_nitrogen_heterocycles.pdf', 'Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']"
C1=CC=[NH+]C(=C1)C2=CC=CC=N2,O,,2-pyridin-1-ium-2-ylpyridine,4.385,"[4.54, 4.23]","['pKa_values_of_nitrogen_heterocycles.pdf', 'Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']"
C1=CC=[NH+]C(=C1)Cl,CC#N,,2-chloropyridin-1-ium,6.79,[6.79],['pKa_values_of_nitrogen_heterocycles.pdf']
C1=CC=[NH+]C=C1,C1CCOC1,16969-45-2,pyridin-1-ium,5.5,[5.5],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
C1=CC=[NH+]C=C1,CC#N,16969-45-2,pyridin-1-ium,12.53,"[12.53, 12.53]","['pKa_values_of_nitrogen_heterocycles.pdf', 'Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']"
C1=CC=[NH+]C=C1,CS(=O)C,16969-45-2,pyridin-1-ium,3.4,[3.4],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
C1=CC=[NH+]C=C1,O,16969-45-2,pyridin-1-ium,5.23,"[5.23, 5.23]","['pKa_values_of_nitrogen_heterocycles.pdf', 'Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']"
C1=CC=C(C(=C1)[N+](=O)[O-])O,CC#N,88-75-5,2-nitrophenol,22.85,"[22.85, 22.85, 22.85, 22.85]","['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
C1=CC=C(C(=C1)[N+](=O)[O-])O,CN(C)C=O,88-75-5,2-nitrophenol,12.2,[12.2],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC=C(C(=C1)[N+](=O)[O-])O,CS(=O)C,88-75-5,2-nitrophenol,11,[11.0],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC=C(C(=C1)[N+](=O)[O-])O,O,88-75-5,2-nitrophenol,7.22,[7.22],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC=C(C(=C1)[NH3+])[N+](=O)[O-],CC#N,,(2-nitrophenyl)azanium,4.8,[4.8],['pKa_values_of_nitrogen_heterocycles.pdf']
C1=CC=C(C(=C1)[NH3+])Cl��,CC#N,,(2-chlorophenyl)azanium,7.86,[7.86],['pKa_values_of_nitrogen_heterocycles.pdf']
C1=CC=C(C(=C1)C(=O)O)[N+](=O)[O-],CC#N,552-16-9,2-nitrobenzoic acid,18.2,[18.2],['MeCN_Acids_COSMO-RS_2008_Table.pdf']
C1=CC=C(C(=C1)C(=O)O)C(=O)O,CC#N,88-99-3,phthalic acid,14.3,[14.3],['MeCN_Acids_COSMO-RS_2008_Table.pdf']
C1=CC=C(C(=C1)C(=O)O)Cl,CC#N,118-91-2,2-chlorobenzoic acid,19,[19.0],['MeCN_Acids_COSMO-RS_2008_Table.pdf']
C1=CC=C(C(=C1)C(=O)O)O,CC#N,69-72-7,2-hydroxybenzoic acid,16.7,[16.7],['MeCN_Acids_COSMO-RS_2008_Table.pdf']
C1=CC=C(C(=C1)C(F)(F)F)O,CC#N,444-30-4,2-(trifluoromethyl)phenol,24.89,"[24.88, 24.9, 24.9, 24.88]","['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
C1=CC=C(C(=C1)C(F)(F)F)O,CS(=O)C,444-30-4,2-(trifluoromethyl)phenol,14.4,[14.4],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC=C(C(=C1)C(F)(F)F)O,O,444-30-4,2-(trifluoromethyl)phenol,8.42,[8.42],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC=C(C(=C1)C2=CC=CC=C2C(=O)O)C(=O)O,CC#N,482-05-3,2-(2-carboxyphenyl)benzoic acid,15.7,[15.7],['MeCN_Acids_COSMO-RS_2008_Table.pdf']
C1=CC=C(C(=C1)O)Br,CC#N,95-56-7,2-bromophenol,23.92,[23.92],['MeCN_Acids_COSMO-RS_2008_Table.pdf']
C1=CC=C(C(=C1)O)S,CC#N,1121-24-0,2-sulfanylphenol,19.34,[19.34],['MeCN_Acids_COSMO-RS_2008_Table.pdf']
C1=CC=C(C=C1)[NH+](C2=CC=CC=C2)C3=CC=CC=C3,CC#N,-,triphenylazanium,1.28,[1.28],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
C1=CC=C(C=C1)[NH+](C2=CC=CC=C2)C3=CC=CC=C3,O,-,triphenylazanium,-3.91,[-3.91],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
C1=CC=C(C=C1)[NH2+]C2=CC=CC=C2,C1CCOC1,61236-17-7,diphenylazanium,0.6,[0.6],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
C1=CC=C(C=C1)[NH2+]C2=CC=CC=C2,CC#N,61236-17-7,diphenylazanium,5.98,[5.98],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
C1=CC=C(C=C1)[NH2+]C2=CC=CC=C2,CS(=O)C,61236-17-7,diphenylazanium,-1.1,[-1.1],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
C1=CC=C(C=C1)[NH2+]C2=CC=CC=C2,O,61236-17-7,diphenylazanium,0.79,[0.79],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
C1=CC=C(C=C1)[NH3+],C1CCOC1,65756-50-5,phenylazanium,5.2,"[5.2, 5.2]","['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf', 'Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']"
C1=CC=C(C=C1)[NH3+],CC#N,65756-50-5,phenylazanium,10.62666667,"[10.62, 10.62, 10.64]","['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf', 'pKa_values_of_nitrogen_heterocycles.pdf', 'Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']"
C1=CC=C(C=C1)[NH3+],CS(=O)C,65756-50-5,phenylazanium,3.595,"[3.59, 3.6]","['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf', 'Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']"
C1=CC=C(C=C1)[NH3+],O,65756-50-5,phenylazanium,4.61,"[4.6, 4.62]","['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf', 'Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']"
C1=CC=C(C=C1)C(=C(C#N)C#N)C(C#N)C#N,C(CCl)Cl,96463-47-7,"2-phenylprop-1-ene-1,1,3,3-tetracarbonitrile",35.5,[35.5],['leito_acids']
C1=CC=C(C=C1)C(=NS(=O)(=O)C(F)(F)F)NS(=O)(=O)C(F)(F)F,C(CCl)Cl,500721-91-5,"N,N'-bis(trifluoromethylsulfonyl)benzenecarboximidamide",33.3,[33.3],['leito_acids']
C1=CC=C(C=C1)C(=NS(=O)(=O)C(F)(F)F)NS(=O)(=O)C(F)(F)F,CC#N,500721-91-5,"N,N'-bis(trifluoromethylsulfonyl)benzenecarboximidamide",5.7,"[5.71, 5.68, 5.71]","['DCE_2011_pKa_Table_MeCN.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'leito_acids']"
C1=CC=C(C=C1)C(=O)NS(=O)(=O)C(F)(F)F,CC#N,39062-91-4,N-(trifluoromethylsulfonyl)benzamide,11.06,[11.06],['leito_acids']
C1=CC=C(C=C1)C(=O)O,C1CCOC1,65-85-0,benzoic acid,25.11,[25.11],['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf']
C1=CC=C(C=C1)C(=O)O,CC#N,65-85-0,benzoic acid,21.506,"[21.51, 21.51, 21.5, 21.5, 21.51]","['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
C1=CC=C(C=C1)C(=O)O,CN(C)C=O,65-85-0,benzoic acid,12.3,[12.3],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC=C(C=C1)C(=O)O,CS(=O)C,65-85-0,benzoic acid,11.05,"[11.1, 11.0]","['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']"
C1=CC=C(C=C1)C(=O)O,O,65-85-0,benzoic acid,4.225,"[4.25, 4.2]","['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']"
C1=CC=C(C=C1)C(C#N)C2=C(C(=C(C(=C2F)F)F)F)F,CC#N,42238-33-5,"2-(2,3,4,5,6-pentafluorophenyl)-2-phenylacetonitrile",26.14,"[26.14, 26.14]","['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf', 'leito_acids']"
C1=CC=C(C=C1)C(C#N)C2=C(C(=C(C(=C2F)F)F)F)F,CS(=O)C,42238-33-5,"2-(2,3,4,5,6-pentafluorophenyl)-2-phenylacetonitrile",12.8,[12.8],['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf']
C1=CC=C(C=C1)C(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC#N,40906-82-9,bis(trifluoromethylsulfonyl)methylbenzene,7.802,"[7.85, 7.85, 7.73, 7.73, 7.85]","['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'DCE_2011_pKa_Table_MeCN.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
C1=CC=C(C=C1)C(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CS(=O)C,40906-82-9,bis(trifluoromethylsulfonyl)methylbenzene,2,[2.0],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC=C(C=C1)C[NH+](CC2=CC=CC=C2)CC3=CC=CC=C3,C1CCOC1,-,tribenzylazanium,6.5,[6.5],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
C1=CC=C(C=C1)C[NH+](CC2=CC=CC=C2)CC3=CC=CC=C3,CC#N,-,tribenzylazanium,12.9,[12.9],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
C1=CC=C(C=C1)C[NH+](CC2=CC=CC=C2)CC3=CC=CC=C3,CS(=O)C,-,tribenzylazanium,4.1,[4.1],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
C1=CC=C(C=C1)C[NH+](CC2=CC=CC=C2)CC3=CC=CC=C3,O,-,tribenzylazanium,7.44,[7.44],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
C1=CC=C(C=C1)C[NH2+]CC2=CC=CC=C2,O,-,dibenzylazanium,8.52,[8.52],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
C1=CC=C(C=C1)C[NH3+],C1CCOC1,-,benzylazanium,12.1,[12.1],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
C1=CC=C(C=C1)C[NH3+],CC#N,-,benzylazanium,16.92,[16.92],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
C1=CC=C(C=C1)C[NH3+],CS(=O)C,-,benzylazanium,10.16,[10.16],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
C1=CC=C(C=C1)C[NH3+],O,-,benzylazanium,9.34,[9.34],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
C1=CC=C(C=C1)C2=CC3=CC=CC=C3C4=C2OP(=O)(OC5=C4C6=CC=CC=C6C=C5C7=CC=CC=C7)O,CC#N,695162-86-8,"13-hydroxy-10,16-diphenyl-12,14-dioxa-13λ5-phosphapentacyclo[13.8.0.02,11.03,8.018,23]tricosa-1(15),2(11),3,5,7,9,16,18,20,22-decaene 13-oxide",12.7,[12.7],['leito_acids']
C1=CC=C(C=C1)CS(=O)(=O)C(F)(F)F,CC#N,-,trifluoromethylsulfonylmethylbenzene,27.19,"[27.19, 27.19]","['pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']"
C1=CC=C(C=C1)CS(=O)(=O)C(F)(F)F,CS(=O)C,-,trifluoromethylsulfonylmethylbenzene,14.55,[14.55],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC=C(C=C1)NC(=[NH+]C2=CC=CC=C2)N,C1CCOC1,-,[amino(anilino)methylidene]-phenylazanium,13.9,[13.9],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
C1=CC=C(C=C1)NC(=[NH+]C2=CC=CC=C2)N,CC#N,-,[amino(anilino)methylidene]-phenylazanium,17.9,[17.9],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
C1=CC=C(C=C1)NC(=[NH+]C2=CC=CC=C2)N,CS(=O)C,-,[amino(anilino)methylidene]-phenylazanium,8.6,[8.6],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
C1=CC=C(C=C1)NC(=[NH+]C2=CC=CC=C2)N,O,-,[amino(anilino)methylidene]-phenylazanium,10.02,[10.02],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
C1=CC=C(C=C1)NC2=C(C(=NC(=C2F)F)F)F,CC#N,39077-43-5,"2,3,5,6-tetrafluoro-N-phenylpyridin-4-amine",24.8575,"[26.34, 20.39, 26.36, 26.34]","['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
C1=CC=C(C=C1)NC2=C(C(=NC(=C2F)F)F)F,CS(=O)C,39077-43-5,"2,3,5,6-tetrafluoro-N-phenylpyridin-4-amine",8.3,[8.3],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC=C(C=C1)O,CC#N,108-95-2,phenol,29.17,"[29.14, 29.2, 29.2, 29.14]","['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
C1=CC=C(C=C1)O,CN(C)C=O,108-95-2,phenol,18.4,[18.4],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC=C(C=C1)O,CS(=O)C,108-95-2,phenol,18,[18.0],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC=C(C=C1)O,O,108-95-2,phenol,9.99,[9.99],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC=C(C=C1)S(=NS(=O)(=O)C(F)(F)F)(=O)NS(=NS(=O)(=O)C(F)(F)F)(=O)C2=CC=CC=C2,C(CCl)Cl,771460-54-9,"1,1,1-trifluoro-N-[oxo-phenyl-[[S-phenyl-N-(trifluoromethylsulfonyl)sulfonimidoyl]amino]-λ6-sulfanylidene]methanesulfonamide",33.6,[33.6],['leito_acids']
C1=CC=C(C=C1)S(=O)(=O)N,CC#N,98-10-2,benzenesulfonamide,25.62,"[24.61, 26.63]","['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']"
C1=CC=C(C=C1)S(=O)(=O)N,CN(C)C=O,98-10-2,benzenesulfonamide,17.06,[17.06],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC=C(C=C1)S(=O)(=O)N,CS(=O)C,98-10-2,benzenesulfonamide,16.1,[16.1],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC=C(C=C1)S(=O)(=O)N,O,98-10-2,benzenesulfonamide,10.1,[10.1],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC=C(C=C1)S(=O)(=O)NS(=O)(=O)C(F)(F)F,CC#N,174788-87-5,N-(trifluoromethylsulfonyl)benzenesulfonamide,5.54,"[5.55, 5.52, 5.55]","['DCE_2011_pKa_Table_MeCN.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
C1=CC=C(C=C1)S(=O)(=O)NS(=O)(=O)C2=CC=CC=C2,CC#N,2618-96-4,N-(benzenesulfonyl)benzenesulfonamide,11.34333333,"[11.34, 11.35, 11.34]","['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
C1=CC=C(C=C1)S(=O)(=O)NS(=O)(=O)C2=CC=CC=C2,CN(C)C=O,2618-96-4,N-(benzenesulfonyl)benzenesulfonamide,3.66,[3.66],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC=C(C=C1)S(=O)(=O)O,CC#N,98-11-3,benzenesulfonic acid,8.2,"[8.2, 8.2]","['pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']"
C1=CC=C2C(=C1)[NH+]=CC=N2��,CC#N,,quinoxalin-1-ium,7.4,[7.4],['pKa_values_of_nitrogen_heterocycles.pdf']
C1=CC=C2C(=C1)[NH+]=CC=N2��,O,,quinoxalin-1-ium,0.56,[0.56],['pKa_values_of_nitrogen_heterocycles.pdf']
C1=CC=C2C(=C1)C(=CN2)[N+](=O)[O-],CC#N,4770-03-0,3-nitro-1H-indole,22.77,"[22.77, 22.77]","['pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']"
C1=CC=C2C(=C1)C(=CN2)[N+](=O)[O-],O,4770-03-0,3-nitro-1H-indole,10.12,[10.12],['Ejoc202001649-sup-00001-misc_information.pdf']
C1=CC=C2C(=C1)C(=CN2)C#N,CC#N,5457-28-3,1H-indole-3-carbonitrile,26.01,"[26.01, 26.01]","['pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']"
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)O)O,CC#N,72-48-0,"1,2-dihydroxyanthracene-9,10-dione",21.23,"[21.23, 21.23]","['pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']"
C1=CC=C2C(=C1)C(=O)NS2(=O)=O,CC#N,128-44-9,"1,1-dioxo-1,2-benzothiazol-3-one",14.57,"[14.57, 14.57, 14.57, 14.57, 14.57]","['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
C1=CC=C2C(=C1)C(=O)NS2(=O)=O,CS(=O)C,128-44-9,"1,1-dioxo-1,2-benzothiazol-3-one",4,"[4.0, 4.0]","['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']"
C1=CC=C2C(=C1)C(=O)NS2(=O)=O,O,128-44-9,"1,1-dioxo-1,2-benzothiazol-3-one",1.8,"[1.8, 1.8]","['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']"
C1=CC=C2C(=C1)C(C3=CC=CC=C32)C#N,C(CCl)Cl,1529-40-4,9H-fluorene-9-carbonitrile,55.9,"[55.9, 55.9]","['Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
