,Solute SMILES,Solvent SMILES,Solute CAS,Solute IUPAC,pKa (avg),pKa (all),Source (all)
640,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[OH:26])=C(COC(C)=O)CS[C@H]12)c1csc(N)n1,O,0,0,3.75,[3.75],"[""['hunt_et_al']""]"
641,Cc1cc([NH3+:10])cc(C)c1C,O,0,0,5.12,[5.12],"[""['hunt_et_al']""]"
642,Clc1ccc(Cl)c([OH:7])c1Cl,O,0,0,5.8,[5.8],"[""['hunt_et_al']""]"
643,O=C([O-])[C@H](Cc1ccccc1)[NH+:28]1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,O,0,0,9.25,[9.25],"[""['hunt_et_al']""]"
644,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CC[NH+:20](C)CC3)cc21,O,0,0,7.55,[7.55],"[""['hunt_et_al']""]"
645,COC(=O)c1ccc([NH+:11](C)C)cc1,O,0,0,2.52,[2.52],"[""['hunt_et_al']""]"
646,CCCCCC[N@@H+:13](CCO)C[C@@H](O)CC,O,0,0,9.0,[9.0],"[""['hunt_et_al']""]"
647,C1CN=C2NCCC[NH+]2C1,CC#N,-,"2,3,4,5,6,7,8,9-octahydropyrimido[1,2-a]pyrimidin-5-ium",26.025,"[26.03, 26.02]","[""['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf', 'Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
648,COc1ccc(C2=CC3CCCCC3C3=C2OP(=O)(NS(=O)(=O)C(F)(F)F)Oc2c(-c4ccc(OC)cc4)cc4c(c23)CCCC4)cc1,CC#N,1071853-99-0,"N-[10,16-bis(4-methoxyphenyl)-13-oxo-12,14-dioxa-13λ5-phosphapentacyclo[13.8.0.02,11.03,8.018,23]tricosa-1(15),2,8,10,16-pentaen-13-yl]-1,1,1-trifluoromethanesulfonamide",6.865,"[6.83, 6.9]","[""['Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']""]"
649,O=[N+]([O-])c1cc2ccccc2[nH]1,CC#N,60544-75-4,2-nitro-1H-indole,23.64,[23.64],"[""['pKa_values_of_acids_in_acetonitrile.pdf']""]"
650,O=C(COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1)[OH:25],O,0,0,3.0,[3.0],"[""['hunt_et_al']""]"
651,CN(C)CC[NH+](C)C,C1CCOC1,-,2-(dimethylamino)ethyl-dimethylazanium,12.8,[12.8],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
652,O=[N+]([O-])c1cc([N+](=O)[O-])c([NH:13]c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,O,0,0,5.42,[5.42],"[""['hunt_et_al']""]"
653,O=C1O[C@H]([C@@H](O)CO)C([OH:10])=C1O,O,0,0,4.17,[4.17],"[""['hunt_et_al']""]"
654,C[C@H](Oc1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1)C(=O)[OH:18],O,0,0,2.9,[2.9],"[""['hunt_et_al']""]"
655,Cc1ccc(S(=O)(=O)NS(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1,C(CCl)Cl,100724-78-5,4-methyl-N-(4-nitrophenyl)sulfonylbenzenesulfonamide,43.3,"[43.3, 43.3]","[""['Ejoc202001649-sup-00001-misc_information.pdf']"", ""['leito_acids']""]"
656,ClCC[NH3+:3],O,0,0,8.56,[8.56],"[""['hunt_et_al']""]"
657,CCCC[NH2+:13]C[C@H](O)c1ccc(O)cc1,O,0,0,9.034,[9.034],"[""['hunt_et_al']""]"
658,O=[N+]([O-])c1cc(Br)ccc1[NH3+:7],O,0,0,-1.05,[-1.05],"[""['hunt_et_al']""]"
659,Cc1c(F)c(F)c(C(C#N)c2ccccc2)c(F)c1F,CC#N,58432-62-5,"2-phenyl-2-(2,3,5,6-tetrafluoro-4-methylphenyl)acetonitrile",26.96666666666667,"[26.96, 26.96, 26.98]","[""['leito_acids']"", ""['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']""]"
660,O=C(Nc1cccc(F)c1Cl)Nc1ccc(Cl)c(S(=O)(=O)N2CCNCC2)c1[OH:25],O,0,0,5.9,[5.9],"[""['hunt_et_al']""]"
661,O=C(CCC(=O)[OH:17])c1ccc2ccccc2c1,O,0,0,4.96,[4.96],"[""['hunt_et_al']""]"
662,C1CN=C2CCC[NH+]2C1,CC#N,-,"3,4,5,6,7,8-hexahydro-2H-pyrrolo[1,2-a]pyrimidin-5-ium",23.89,[23.89],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
663,CCc1cc(C(C)C)c(C)cc1[OH:13],O,0,0,10.85,[10.85],"[""['hunt_et_al']""]"
664,[O-][Cl+3]([O-])([O-])O,CC#N,7601-90-3,perchloric acid,1.7000000000000002,"[1.57, 1.83]","[""['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf']""]"
665,CCC[P@@H](=O)[OH:5],O,0,0,3.46,[3.46],"[""['hunt_et_al']""]"
666,O=C(c1ccccc1Oc1ccccc1)[OH:15],O,0,0,3.53,[3.53],"[""['hunt_et_al']""]"
667,CCC(=O)N[C@@H](c1cccs1)c1cc(Cl)c2ccc[nH+:18]c2c1O,O,0,0,2.5,[2.5],"[""['hunt_et_al']""]"
668,C[C@](O)(C(=O)[OH:11])c1ccccc1,O,0,0,3.53,[3.53],"[""['hunt_et_al']""]"
669,Cc1cc(C)c(C(=O)O)c(C)c1,CC#N,480-63-7,"2,4,6-trimethylbenzoic acid",20.5,[20.5],"[""['MeCN_Acids_COSMO-RS_2008_Table.pdf']""]"
670,O=C(CCCOc1ccc(Cl)cc1Cl)[OH:12],O,0,0,4.1,[4.1],"[""['hunt_et_al']""]"
671,C[C@H]1COc2c(N3CC[NH+:21](C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,O,0,0,8.14,[8.14],"[""['hunt_et_al']""]"
672,COc1ccc(C[NH2+:10]C)cc1,O,0,0,9.97,[9.97],"[""['hunt_et_al']""]"
673,Nc1c(S(=O)(=O)F)cc(S(=O)(=O)F)cc1S(=O)(=O)F,CS(=O)C,133213-11-3,"2-aminobenzene-1,3,5-trisulfonyl fluoride",7.8,[7.8],"[""['Ejoc202001649-sup-00001-misc_information.pdf']""]"
674,CC(C)[NH2+:10]c1ccc([N+](=O)[O-])cc1,O,0,0,1.32,[1.32],"[""['hunt_et_al']""]"
675,CC(C)[C@H]([NH3+])C(=O)[OH:8],O,0,0,2.29,[2.29],"[""['hunt_et_al']""]"
676,Nc1ccccc1[SH:8],O,0,0,6.59,[6.59],"[""['hunt_et_al']""]"
677,CC(C)(C)c1ccccc1[OH:11],O,0,0,10.62,[10.62],"[""['hunt_et_al']""]"
678,CC1=[NH+:6]C[C@H](C)S1,O,0,0,5.256,[5.256],"[""['hunt_et_al']""]"
679,C=CC[OH:4],O,0,0,15.52,[15.52],"[""['hunt_et_al']""]"
680,CCOC(=O)C1(c2ccccc2)CC[NH+:16](C)CC1,O,0,0,10.5,[10.5],"[""['hunt_et_al']""]"
681,CC(C)C(C(C)C)[NH+:10](C)C,O,0,0,9.96,[9.96],"[""['hunt_et_al']""]"
682,O=C(O)CC[SH:6],O,0,0,10.27,[10.27],"[""['hunt_et_al']""]"
683,COc1ccccc1[NH3+:8],O,0,0,4.52,[4.52],"[""['hunt_et_al']""]"
684,NCCCCC[NH3+],C1CCOC1,-,5-aminopentylazanium,14.2,[14.2],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
685,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)[OH:27])C(C)(C)S[C@H]12,O,0,0,2.46,[2.46],"[""['hunt_et_al']""]"
686,CCOc1cccc(C[NH2+:25]C(Cc2ccccc2)Cc2ccccc2)c1,O,0,0,6.4,[6.4],"[""['hunt_et_al']""]"
687,O=[N+]([O-])c1cc2ccccc2cc1[NH3+:11],O,0,0,1.48,[1.48],"[""['hunt_et_al']""]"
688,O=C1c2ccccc2C(=O)c2c([OH:17])ccc(O)c21,O,0,0,9.9,[9.9],"[""['hunt_et_al']""]"
689,CCCCCCCC[N@@H+:23](CC[N+]1(C)CCCCC1)c1ccccc1,O,0,0,3.32,[3.32],"[""['hunt_et_al']""]"
690,CCC[C@H](C)C(=O)[OH:8],O,0,0,4.782,[4.782],"[""['hunt_et_al']""]"
691,O=c1cc(-c2cccc([NH3+:20])c2)oc2ccc3ccccc3c12,O,0,0,3.23,[3.23],"[""['hunt_et_al']""]"
692,CN1CCC[NH+]2CCCN=C12,CS(=O)C,-,"1-methyl-3,4,5,6,7,8-hexahydro-2H-pyrimido[1,2-a]pyrimidin-5-ium",14.8,[14.8],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
693,O=C([O-])/C=C\C(=O)[OH:7],O,0,0,6.25,[6.25],"[""['hunt_et_al']""]"
694,CCCC[C@@H](c1ccccc1)[NH3+:12],O,0,0,9.45,[9.45],"[""['hunt_et_al']""]"
695,O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)c1c[nH:25]c(=O)c2ccccc12,O,0,0,10.9,[10.9],"[""['hunt_et_al']""]"
696,Cc1ccccc1C[C@@H](C(=O)O)[NH+:29]1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,O,0,0,9.2,[9.2],"[""['hunt_et_al']""]"
697,C[C@H](CCC(C(=O)O)(c1ccccc1)c1ccccc1)[NH+:21](C)C,O,0,0,10.88,[10.88],"[""['hunt_et_al']""]"
698,COc1ccc(OC)c([NH3+:9])c1,O,0,0,3.93,[3.93],"[""['hunt_et_al']""]"
699,C[NH+:24]1CCN(c2cc3c(cc2F)c(=O)c(C(=O)[O-])cn3-c2ccc(F)cc2)CC1,O,0,0,7.39,[7.39],"[""['hunt_et_al']""]"
700,CCOC(=O)C(C#N)c1c(F)c(F)c(Cl)c(F)c1F,C(CCl)Cl,55810-56-5,"ethyl 2-(4-chloro-2,3,5,6-tetrafluorophenyl)-2-cyanoacetate",52.2,[52.2],"[""['leito_acids']""]"
701,COc1cccc(OC)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)[OH:23])C(C)(C)S[C@H]12,O,0,0,2.77,[2.77],"[""['hunt_et_al']""]"
702,CC(C)[NH2+:18]C[C@H](O)c1ccc(-c2ccccc2)cc1,O,0,0,9.2,[9.2],"[""['hunt_et_al']""]"
703,C[NH2+:18]CC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,O,0,0,9.9,[9.9],"[""['hunt_et_al']""]"
704,CC(C)[NH2+:12]C[C@H](O)c1ccc(Cl)c(Cl)c1,O,0,0,9.27,[9.27],"[""['hunt_et_al']""]"
705,C1CC1[NH3+:4],O,0,0,9.1,[9.1],"[""['hunt_et_al']""]"
706,O=[N+]([O-])c1c([NH3+:11])ccc2ccccc12,O,0,0,-0.85,[-0.85],"[""['hunt_et_al']""]"
707,C1=CC=[N+]C=C1,CC#N,16969-45-2,pyridin-1-ium,12.53,[12.53],"[""['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf']""]"
708,ClC(Cl)C[OH:3],O,0,0,12.89,[12.89],"[""['hunt_et_al']""]"
709,COC(=O)c1cc2nc([S@@](=O)Cc3ncccc3C)[nH:20]c2cc1C,O,0,0,8.1,[8.1],"[""['hunt_et_al']""]"
710,COc1ccc(C(=O)[OH:14])c2ccccc12,O,0,0,4.31,[4.31],"[""['hunt_et_al']""]"
711,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,CS(=O)C,534-52-1,"2-methyl-4,6-dinitrophenol",4.59,[4.59],"[""['Ejoc202001649-sup-00001-misc_information.pdf']""]"
712,C1C[NH+:8]2CCC1CC2,O,0,0,10.95,[10.95],"[""['hunt_et_al']""]"
713,Cc1cc(C)nc(NC(=O)[NH:21]S(=O)(=O)c2ccccc2C(=O)OC2COC2)n1,O,0,0,5.1,[5.1],"[""['hunt_et_al']""]"
714,C[NH+](C)c1ccccc1,O,-,dimethyl(phenyl)azanium,5.06,[5.06],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
715,C[NH+:14](C)Cc1ccc2cccnc2c1O,O,0,0,11.0,[11.0],"[""['hunt_et_al']""]"
716,FC(F)CC[OH:4],O,0,0,12.74,[12.74],"[""['hunt_et_al']""]"
717,FC(F)(F)C(F)(F)Oc1ccc([NH3+:9])cc1,O,0,0,3.78,[3.78],"[""['hunt_et_al']""]"
718,O=C(CC(Cl)(Cl)Cl)[OH:5],O,0,0,0.52,[0.52],"[""['hunt_et_al']""]"
719,C#CCc1c(C)nc([OH:12])nc1C,O,0,0,10.25,[10.25],"[""['hunt_et_al']""]"
720,O=C(c1ccc([N+](=O)[O-])cc1)[OH:12],O,0,0,3.42,[3.42],"[""['hunt_et_al']""]"
721,O=S(=O)(O)O,CC#N,7664-93-9,sulfuric acid,7.466666666666666,"[7.2, 7.6, 7.6]","[""['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']""]"
722,O=[N+]([O-])c1ccc(Cc2ccc([NH3+:14])cc2)cc1,O,0,0,4.45,[4.45],"[""['hunt_et_al']""]"
723,CCCOC(=O)c1ccc([NH3+:11])cc1,O,0,0,2.487,[2.487],"[""['hunt_et_al']""]"
724,C[Si](C)(C)[NH2+:7][Si](C)(C)C,O,0,0,7.55,[7.55],"[""['hunt_et_al']""]"
725,CCCNC(=O)[NH:12]S(=O)(=O)c1ccc(Cl)cc1,O,0,0,4.69,[4.69],"[""['hunt_et_al']""]"
726,CCC[NH+:10](CCC)CCC,O,0,0,10.26,[10.26],"[""['hunt_et_al']""]"
727,c1ccc(-c2cccc[nH+]2)nc1,O,,2-pyridin-1-ium-2-ylpyridine,4.385,"[4.54, 4.23]","[""['pKa_values_of_nitrogen_heterocycles.pdf', 'Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
728,C[NH+]1CCCCC1,CC#N,-,1-methylpiperidin-1-ium,18.24,[18.24],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
729,COC(=O)c1ccccc1[NH3+:9],O,0,0,2.23,[2.23],"[""['hunt_et_al']""]"
730,c1ccc2[nH+]cccc2c1,O,-,quinolin-1-ium,4.93,"[4.93, 4.93]","[""['pKa_values_of_nitrogen_heterocycles.pdf', 'Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
731,O=[N+]([O-])c1cccc(S(=O)(=O)NS(=O)(=O)c2cccc([N+](=O)[O-])c2)c1,CC#N,116082-80-5,3-nitro-N-(3-nitrophenyl)sulfonylbenzenesulfonamide,8.156666666666666,"[8.16, 8.16, 8.15]","[""['pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']""]"
732,COC(=O)c1c(Cl)nn(C)c1S(=O)(=O)[NH:19]C(=O)Nc1nc(OC)cc(OC)n1,O,0,0,3.44,[3.44],"[""['hunt_et_al']""]"
733,c1ccc(/N=N/c2ccc([OH:15])cc2)cc1,O,0,0,8.2,[8.2],"[""['hunt_et_al']""]"
734,CCO[Si](C)(C[NH3+:7])OCC,O,0,0,9.2,[9.2],"[""['hunt_et_al']""]"
735,C[C@H](CC(C#N)(c1ccccc1)c1ccccc1)[NH+:23]1CCOCC1,O,0,0,6.05,[6.05],"[""['hunt_et_al']""]"
736,COc1c(Cl)ccc(Cl)c1C(=O)[OH:10],O,0,0,1.97,[1.97],"[""['hunt_et_al']""]"
737,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C[C@@H]1C[NH3+:23],O,0,0,8.6,[8.6],"[""['hunt_et_al']""]"
738,O=C(c1nc(Cl)ccc1Cl)[OH:9],O,0,0,2.32,[2.32],"[""['hunt_et_al']""]"
739,C[C@@H](C(=O)[OH:8])[N+](=O)[O-],O,0,0,3.79,[3.79],"[""['hunt_et_al']""]"
740,O=C(Cc1ccc2ccccc2c1)[OH:14],O,0,0,4.3,[4.3],"[""['hunt_et_al']""]"
741,C1=C[NH2+]C=N1,O,-,1H-imidazol-1-ium,6.95,"[6.95, 6.95]","[""['pKa_values_of_nitrogen_heterocycles.pdf', 'Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
742,Clc1cc(Cl)c([OH:7])c(Cl)c1,O,0,0,6.23,[6.23],"[""['hunt_et_al']""]"
743,COc1c(O)cccc1C[NH3+:9],O,0,0,8.89,[8.89],"[""['hunt_et_al']""]"
744,c1ccc(-c2ccccc2[OH:13])nc1,O,0,0,9.98,[9.98],"[""['hunt_et_al']""]"
745,Brc1ccc([OH:7])cc1,O,0,0,9.34,[9.34],"[""['hunt_et_al']""]"
746,Ic1ccc([OH:7])cc1,O,0,0,9.2,[9.2],"[""['hunt_et_al']""]"
747,c1ccc2c(c1)Cc1ccc([NH3+:14])cc1-2,O,0,0,4.82,[4.82],"[""['hunt_et_al']""]"
748,Oc1cccc(Cl)c1,CC#N,108-43-0,3-chlorophenol,25.0,[25.0],"[""['MeCN_Acids_COSMO-RS_2008_Table.pdf']""]"
749,COC(=O)c1ccccc1S(=O)(=O)[NH:19]C(=O)Nc1nc(C)cc(C)n1,O,0,0,5.2,[5.2],"[""['hunt_et_al']""]"
750,Cc1ccc(S(=O)(=O)[NH:28]C(=O)N2CCC([NH+]3CCC(Oc4ccc(Cl)c(C)c4Cl)CC3)CC2)cc1,O,0,0,3.2,[3.2],"[""['hunt_et_al']""]"
751,COCCOc1ccccc1S(=O)(=O)[NH:20]C(=O)Nc1nc(OC)nc(OC)n1,O,0,0,4.72,[4.72],"[""['hunt_et_al']""]"
752,Clc1cccc(Cl)c1[NH3+:7],O,0,0,0.422,[0.422],"[""['hunt_et_al']""]"
753,[NH3+]c1ccccc1,O,65756-50-5,phenylazanium,4.609999999999999,"[4.6, 4.62]","[""['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf', 'Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
754,CC(C)S(=O)(=O)c1ccc([NH3+:10])cc1,O,0,0,1.4,[1.4],"[""['hunt_et_al']""]"
755,O=[N+]([O-])c1ccc(C(=NS(=O)(=O)C(F)(F)F)NS(=O)(=O)C(F)(F)F)cc1,CC#N,500721-97-1,"4-nitro-N,N'-bis(trifluoromethylsulfonyl)benzenecarboximidamide",4.7459999999999996,"[5.13, 4.63, 4.67, 4.63, 4.67]","[""['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']"", ""['DCE_2011_pKa_Table_MeCN.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'leito_acids']""]"
756,O=C(c1cn(C2CC2)c2cc(N3CC[NH2+]CC3)c(F)cc2c1=O)[OH:23],O,0,0,6.13,[6.13],"[""['hunt_et_al']""]"
757,CCCCOc1cccc(C(=O)[OH:13])c1,O,0,0,4.25,[4.25],"[""['hunt_et_al']""]"
758,N#CC(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(Cl)c(F)c1F,C(CCl)Cl,42238-36-8,"2-(4-chloro-2,3,5,6-tetrafluorophenyl)-2-(2,3,4,5,6-pentafluorophenyl)acetonitrile",54.7,[54.7],"[""['Ejoc202001649-sup-00001-misc_information.pdf']""]"
759,C[NH2+:8]c1ccc(Cl)cc1,O,0,0,3.9,[3.9],"[""['hunt_et_al']""]"
760,Nc1ncc(Br)c[nH+:5]1,O,0,0,1.95,[1.95],"[""['hunt_et_al']""]"
761,Clc1ccccc1[NH3+:7],O,0,0,2.65,[2.65],"[""['hunt_et_al']""]"
762,N#CC1=CC(C#N)C(C#N)=C1C#N,C(CCl)Cl,77569-14-3,"cyclopenta-2,4-diene-1,2,3,4-tetracarbonitrile",29.9,[29.9],"[""['leito_acids']""]"
763,CCCO[P@](C)(=O)SCC[NH+:9](C)C,O,0,0,7.77,[7.77],"[""['hunt_et_al']""]"
764,C[NH2+:8]C1CCCCC1,O,0,0,11.04,[11.04],"[""['hunt_et_al']""]"
765,C[Si](C)(C)CC[NH3+:6],O,0,0,10.97,[10.97],"[""['hunt_et_al']""]"
766,CCCC[NH3+],C1CCOC1,-,butylazanium,13.4,[13.4],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
767,c1ccc2n[nH+]ccc2c1,CC#N,,cinnolin-2-ium,10.5,[10.5],"[""['pKa_values_of_nitrogen_heterocycles.pdf']""]"
768,COC(=O)[C@](C)(CC(=O)[OH:15])c1ccccc1,O,0,0,4.46,[4.46],"[""['hunt_et_al']""]"
769,C[NH+:11](C)C[C@H](O)c1ccc(O)cc1,O,0,0,9.56,[9.56],"[""['hunt_et_al']""]"
770,COc1cc([NH3+:12])cc2ccccc12,O,0,0,4.05,[4.05],"[""['hunt_et_al']""]"
771,O=C([N-]S(=O)(=O)c1ccc(Cl)cc1)N1CCC([NH+:25]2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,O,0,0,8.2,[8.2],"[""['hunt_et_al']""]"
772,Ic1ccc([NH3+:7])cc1,O,0,0,3.78,[3.78],"[""['hunt_et_al']""]"
773,C/C=C/C=C/C(=O)[OH:8],O,0,0,4.5,[4.5],"[""['hunt_et_al']""]"
774,CCOC(=O)C(C#N)c1c(F)c(F)c(F)c(F)c1F,CC#N,2340-87-6,"ethyl 2-cyano-2-(2,3,4,5,6-pentafluorophenyl)acetate",17.745,"[17.75, 17.75, 17.73, 17.75]","[""['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'a_unified_view_to_bronsted_acidity_scales.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']""]"
775,c1cc2ccc([OH:11])cc2cn1,O,0,0,8.9,[8.9],"[""['hunt_et_al']""]"
776,Cc1c(F)c(F)c(C(C#N)c2c(F)c(F)c(C)c(F)c2F)c(F)c1F,CC#N,58432-44-3,"2,2-bis(2,3,5,6-tetrafluoro-4-methylphenyl)acetonitrile",22.8,"[22.8, 22.8, 22.8, 22.8, 22.8]","[""['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'a_unified_view_to_bronsted_acidity_scales.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']""]"
777,c1cc(CC[NH+:14]2CCCCC2)ccn1,O,0,0,9.06,[9.06],"[""['hunt_et_al']""]"
778,CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](c3ccccc3)[NH3+:18])C(=O)N2[C@H]1C(=O)O,O,0,0,7.7,[7.7],"[""['hunt_et_al']""]"
779,O=[N+]([O-])c1cc([N+](=O)[O-])cc([NH3+:7])c1,O,0,0,0.229,[0.229],"[""['hunt_et_al']""]"
780,CCC/C=C(/C)C(=O)[OH:9],O,0,0,4.74,[4.74],"[""['hunt_et_al']""]"
781,COc1ccc(OC)c([C@@H](O)CNC(=O)C[NH3+:13])c1,O,0,0,7.59,[7.59],"[""['hunt_et_al']""]"
782,CCC(=O)O[C@H](C)C[NH+:9](C)C,O,0,0,8.26,[8.26],"[""['hunt_et_al']""]"
783,COc1ccccc1-c1ccccc1[OH:14],O,0,0,10.4,[10.4],"[""['hunt_et_al']""]"
784,c1ccc(C[NH+](Cc2ccccc2)Cc2ccccc2)cc1,CS(=O)C,-,tribenzylazanium,4.1,[4.1],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
785,O=C(c1ccc([N+](=O)[O-])c([N+](=O)[O-])c1)[OH:15],O,0,0,2.82,[2.82],"[""['hunt_et_al']""]"
786,COC(=O)c1sccc1S(=O)(=O)[NH:17]C(=O)Nc1nc(C)nc(OC)n1,O,0,0,4.0,[4.0],"[""['hunt_et_al']""]"
787,Clc1cccc2c([NH3+:11])cccc12,O,0,0,3.34,[3.34],"[""['hunt_et_al']""]"
788,O=P1(O)Oc2c(-c3cc4ccccc4c4ccccc34)cc3ccccc3c2-c2c(c(-c3cc4ccccc4c4ccccc34)cc3ccccc23)O1,CC#N,864943-22-6,"13-hydroxy-10,16-di(phenanthren-9-yl)-12,14-dioxa-13_5-phosphapentacyclo[13.8.0.02,11.03,8.018,23]tricosa-1(15),2(11),3,5,7,9,16,18,20,22-decaene 13-oxide",13.31,"[13.32, 13.3]","[""['Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']""]"
789,CCOC(=O)C(C#N)c1c(F)c(F)c(C(F)(F)F)c(F)c1F,CS(=O)C,32251-53-9,"ethyl 2-cyano-2-[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]acetate",3.0,"[3.0, 3.0]","[""['a_unified_view_to_bronsted_acidity_scales.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']""]"
790,O=S(=O)(Cc1ccccc1)C(F)(F)F,CS(=O)C,-,trifluoromethylsulfonylmethylbenzene,14.55,[14.55],"[""['Ejoc202001649-sup-00001-misc_information.pdf']""]"
791,COc1ccc2c([NH3+:12])cccc2c1,O,0,0,3.9,[3.9],"[""['hunt_et_al']""]"
792,CC(C)[NH2+:18]C[C@H](O)c1cccc(-c2ccccc2)c1,O,0,0,9.49,[9.49],"[""['hunt_et_al']""]"
793,CC1CC[NH+:19]([C@@H](C)C=C(c2cccs2)c2cccs2)CC1,O,0,0,8.15,[8.15],"[""['hunt_et_al']""]"
794,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C[SH:12],O,0,0,9.35,[9.35],"[""['hunt_et_al']""]"
795,CCc1ccccc1[OH:9],O,0,0,10.2,[10.2],"[""['hunt_et_al']""]"
796,Cc1ccc2cccc(N)c2[nH+]1,CC#N,,2-methylquinolin-1-ium-8-amine,11.54,[11.54],"[""['pKa_values_of_nitrogen_heterocycles.pdf']""]"
797,O=C([N-]S(=O)(=O)N1CCC([NH+:24]2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1)c1ccccc1,O,0,0,8.1,[8.1],"[""['hunt_et_al']""]"
798,C1NCC2C[NH2+]CC1C2,C1CCOC1,,,14.8,[14.8],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
799,C[NH+:9](C)c1ccccc1Br,O,0,0,4.31,[4.31],"[""['hunt_et_al']""]"
800,COCC(=O)[OH:5],O,0,0,3.57,[3.57],"[""['hunt_et_al']""]"
801,O=[N+]([O-])c1cccc([N+](=O)[O-])c1[OH:13],O,0,0,3.71,[3.71],"[""['hunt_et_al']""]"
802,Clc1ccc([OH:7])cc1Cl,O,0,0,8.63,[8.63],"[""['hunt_et_al']""]"
803,COc1nc(C)nc(NC(=O)[NH:19]S(=O)(=O)c2ccccc2OCCCl)n1,O,0,0,4.64,[4.64],"[""['hunt_et_al']""]"
804,N#CC(c1ccccc1)c1c(F)c(F)c(F)c(F)c1F,CC#N,42238-33-5,"2-(2,3,4,5,6-pentafluorophenyl)-2-phenylacetonitrile",26.145,"[26.14, 26.14, 26.14, 26.16]","[""['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf', 'leito_acids']"", ""['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']""]"
805,CC(C)[C@H]1CCC[NH2+:9]C1,O,0,0,10.75,[10.75],"[""['hunt_et_al']""]"
